结算时间(AEST),州/区域代码,电价(AUD$/MWh)
2025/01/01 00:05:00,NSW1,138.03
2025/01/01 00:10:00,NSW1,134.42
2025/01/01 00:15:00,NSW1,135.89
2025/01/01 00:20:00,NSW1,120.31
2025/01/01 00:25:00,NSW1,119.89
2025/01/01 00:30:00,NSW1,121.87
2025/01/01 00:35:00,NSW1,111.65
2025/01/01 00:40:00,NSW1,119.05
2025/01/01 00:45:00,NSW1,119.49
2025/01/01 00:50:00,NSW1,115.95
2025/01/01 00:55:00,NSW1,128.51
2025/01/01 01:00:00,NSW1,116.72
2025/01/01 01:05:00,NSW1,116.34
2025/01/01 01:10:00,NSW1,109.74
2025/01/01 01:15:00,NSW1,107.54
2025/01/01 01:20:00,NSW1,117.09
2025/01/01 01:25:00,NSW1,113.44
2025/01/01 01:30:00,NSW1,109.74
2025/01/01 01:35:00,NSW1,109.69
2025/01/01 01:40:00,NSW1,104.5
2025/01/01 01:45:00,NSW1,104.5
2025/01/01 01:50:00,NSW1,103.24
2025/01/01 01:55:00,NSW1,103.95
2025/01/01 02:00:00,NSW1,104.5
2025/01/01 02:05:00,NSW1,104.5
2025/01/01 02:10:00,NSW1,105.42
2025/01/01 02:15:00,NSW1,104.5
2025/01/01 02:20:00,NSW1,104.5
2025/01/01 02:25:00,NSW1,104.5
2025/01/01 02:30:00,NSW1,104.5
2025/01/01 02:35:00,NSW1,104.5
2025/01/01 02:40:00,NSW1,104.5
2025/01/01 02:45:00,NSW1,104.16
2025/01/01 02:50:00,NSW1,103.4
2025/01/01 02:55:00,NSW1,103.36
2025/01/01 03:00:00,NSW1,102.58
2025/01/01 03:05:00,NSW1,104.25
2025/01/01 03:10:00,NSW1,102.54
2025/01/01 03:15:00,NSW1,105.12
2025/01/01 03:20:00,NSW1,102.02
2025/01/01 03:25:00,NSW1,103.61
2025/01/01 03:30:00,NSW1,104.35
2025/01/01 03:35:00,NSW1,103.61
2025/01/01 03:40:00,NSW1,105.74
